id,Şehir,Tarih,Durum,Sıcaklık (°C)
188,Denizli,2024-11-21,Bölgesel düzensiz yağmur yağışlı,10.9
189,Denizli,2024-11-22,Bölgesel düzensiz yağmur yağışlı,14.1
190,Denizli,2024-11-23,Bölgesel düzensiz yağmur yağışlı,14.3
191,Denizli,2024-11-24,Güneşli,11.3
192,Denizli,2024-11-25,Güneşli,10.1
193,Denizli,2024-11-26,Güneşli,10.9
194,Denizli,2024-11-27,Güneşli,11.2
195,Denizli,2024-11-28,Güneşli,9.7
196,Sanliurfa,2024-11-15,Güneşli,15.5
197,Sanliurfa,2024-11-16,Parçalı Bulutlu,15.0
198,Sanliurfa,2024-11-17,Bölgesel düzensiz yağmur yağışlı,15.2
199,Sanliurfa,2024-11-18,Orta kuvvetli yağmurlu,14.2
200,Sanliurfa,2024-11-19,Güneşli,12.7
201,Sanliurfa,2024-11-20,Güneşli,12.2
202,Sanliurfa,2024-11-21,Parçalı Bulutlu,13.6
203,Sanliurfa,2024-11-22,Parçalı Bulutlu,13.9
204,Sanliurfa,2024-11-23,Parçalı Bulutlu,15.3
205,Sanliurfa,2024-11-24,Güneşli,15.0
206,Sanliurfa,2024-11-25,Güneşli,14.8
207,Sanliurfa,2024-11-26,Güneşli,15.0
208,Sanliurfa,2024-11-27,Güneşli,14.5
209,Sanliurfa,2024-11-28,Güneşli,14.5
210,Diyarbakir,2024-11-15,Güneşli,12.7
211,Diyarbakir,2024-11-16,Bölgesel düzensiz yağmur yağışlı,12.1
212,Diyarbakir,2024-11-17,Bölgesel düzensiz yağmur yağışlı,11.8
213,Diyarbakir,2024-11-18,Orta kuvvetli yağmurlu,11.4
214,Diyarbakir,2024-11-19,Bölgesel düzensiz yağmur yağışlı,11.2
215,Diyarbakir,2024-11-20,Parçalı Bulutlu,11.3
216,Diyarbakir,2024-11-21,Güneşli,11.9
217,Diyarbakir,2024-11-22,Bölgesel düzensiz yağmur yağışlı,11.9
218,Diyarbakir,2024-11-23,Parçalı Bulutlu,13.3
219,Diyarbakir,2024-11-24,Güneşli,13.1
220,Diyarbakir,2024-11-25,Güneşli,12.6
221,Diyarbakir,2024-11-26,Güneşli,13.0
222,Diyarbakir,2024-11-27,Güneşli,12.8
223,Diyarbakir,2024-11-28,Güneşli,12.9
224,Balikesir,2024-11-15,Bölgesel düzensiz yağmur yağışlı,12.6
225,Balikesir,2024-11-16,Bölgesel düzensiz yağmur yağışlı,10.5
226,Balikesir,2024-11-17,Bölgesel düzensiz yağmur yağışlı,9.8
227,Balikesir,2024-11-18,Bulutlu,10.2
228,Balikesir,2024-11-19,Güneşli,10.2
229,Balikesir,2024-11-20,Parçalı Bulutlu,10.5
230,Balikesir,2024-11-21,Bölgesel düzensiz yağmur yağışlı,16.2
231,Balikesir,2024-11-22,Bölgesel düzensiz yağmur yağışlı,12.4
232,Balikesir,2024-11-23,Bölgesel düzensiz yağmur yağışlı,8.2
233,Balikesir,2024-11-24,Güneşli,5.8
234,Balikesir,2024-11-25,Güneşli,8.3
235,Balikesir,2024-11-26,Güneşli,9.7
236,Balikesir,2024-11-27,Güneşli,11.2
237,Balikesir,2024-11-28,Güneşli,12.4
238,Aydin,2024-11-15,Bölgesel düzensiz yağmur yağışlı,14.5
239,Aydin,2024-11-16,Orta kuvvetli yağmurlu,13.0
240,Aydin,2024-11-17,Orta kuvvetli yağmurlu,13.6
241,Aydin,2024-11-18,Parçalı Bulutlu,11.8
242,Aydin,2024-11-19,Güneşli,11.4
243,Aydin,2024-11-20,Parçalı Bulutlu,10.9
244,Aydin,2024-11-21,Bölgesel düzensiz yağmur yağışlı,13.6
245,Aydin,2024-11-22,Bölgesel düzensiz yağmur yağışlı,15.0
246,Aydin,2024-11-23,Bölgesel düzensiz yağmur yağışlı,14.0
247,Aydin,2024-11-24,Güneşli,11.2
248,Aydin,2024-11-25,Güneşli,13.1
249,Aydin,2024-11-26,Güneşli,10.6
250,Aydin,2024-11-27,Güneşli,13.6
251,Aydin,2024-11-28,Güneşli,13.7
252,Manisa,2024-11-15,Bölgesel düzensiz yağmur yağışlı,15.6
253,Manisa,2024-11-16,Orta kuvvetli yağmurlu,12.1
254,Manisa,2024-11-17,Bölgesel düzensiz yağmur yağışlı,11.9
255,Manisa,2024-11-18,Parçalı Bulutlu,11.2
256,Manisa,2024-11-19,Güneşli,11.0
257,Manisa,2024-11-20,Parçalı Bulutlu,10.4
258,Manisa,2024-11-21,Bölgesel düzensiz yağmur yağışlı,15.4
259,Manisa,2024-11-22,Bölgesel düzensiz yağmur yağışlı,15.2
260,Manisa,2024-11-23,Bölgesel düzensiz yağmur yağışlı,12.5
261,Manisa,2024-11-24,Güneşli,9.8
262,Manisa,2024-11-25,Güneşli,11.5
263,Manisa,2024-11-26,Güneşli,12.3
264,Manisa,2024-11-27,Güneşli,12.9
265,Manisa,2024-11-28,Güneşli,12.5
266,Tekirdag,2024-11-15,Bölgesel düzensiz yağmur yağışlı,10.9
267,Tekirdag,2024-11-16,Bölgesel düzensiz yağmur yağışlı,9.5
268,Tekirdag,2024-11-17,Parçalı Bulutlu,10.0
269,Tekirdag,2024-11-18,Güneşli,10.7
270,Tekirdag,2024-11-19,Parçalı Bulutlu,10.4
271,Tekirdag,2024-11-20,Parçalı Bulutlu,11.9
272,Tekirdag,2024-11-21,Bölgesel düzensiz yağmur yağışlı,15.0
273,Tekirdag,2024-11-22,Güneşli,9.7
274,Tekirdag,2024-11-23,Bölgesel düzensiz yağmur yağışlı,8.0
275,Tekirdag,2024-11-24,Güneşli,6.7
276,Tekirdag,2024-11-25,Güneşli,8.3
277,Tekirdag,2024-11-26,Güneşli,9.5
278,Tekirdag,2024-11-27,Güneşli,10.4
279,Tekirdag,2024-11-28,Parçalı Bulutlu,12.1
280,Kocaeli,2024-11-15,Orta kuvvetli yağmurlu,12.3
281,Kocaeli,2024-11-16,Orta kuvvetli yağmurlu,9.8
282,Kocaeli,2024-11-17,Parçalı Bulutlu,9.3
283,Kocaeli,2024-11-18,Çok bulutlu,10.0
284,Kocaeli,2024-11-19,Güneşli,10.1
285,Kocaeli,2024-11-20,Parçalı Bulutlu,11.2
286,Kocaeli,2024-11-21,Bölgesel düzensiz yağmur yağışlı,16.1
287,Kocaeli,2024-11-22,Bölgesel düzensiz yağmur yağışlı,9.9
288,Kocaeli,2024-11-23,Bölgesel düzensiz yağmur yağışlı,7.0
289,Kocaeli,2024-11-24,Güneşli,6.0
290,Kocaeli,2024-11-25,Güneşli,7.9
291,Kocaeli,2024-11-26,Güneşli,9.7
292,Kocaeli,2024-11-27,Çok bulutlu,10.9
293,Kocaeli,2024-11-28,Güneşli,11.8
294,Sakarya,2024-11-15,Orta kuvvetli yağmurlu,12.7
295,Sakarya,2024-11-16,Orta kuvvetli yağmurlu,9.9
296,Sakarya,2024-11-17,Parçalı Bulutlu,8.5
297,Sakarya,2024-11-18,Parçalı Bulutlu,10.0
298,Sakarya,2024-11-19,Güneşli,10.0
299,Sakarya,2024-11-20,Güneşli,11.1
300,Sakarya,2024-11-21,Bölgesel düzensiz yağmur yağışlı,16.3
301,Sakarya,2024-11-22,Bölgesel düzensiz yağmur yağışlı,9.9
302,Sakarya,2024-11-23,Bölgesel düzensiz yağmur yağışlı,7.0
303,Sakarya,2024-11-24,Güneşli,5.9
304,Sakarya,2024-11-25,Güneşli,7.8
305,Sakarya,2024-11-26,Güneşli,9.8
306,Sakarya,2024-11-27,Çok bulutlu,10.8
307,Sakarya,2024-11-28,Güneşli,12.0
308,Kutahya,2024-11-15,Bölgesel düzensiz yağmur yağışlı,9.4
309,Kutahya,2024-11-16,Bölgesel düzensiz yağmur yağışlı,7.1
310,Kutahya,2024-11-17,Bölgesel düzensiz yağmur yağışlı,7.5
311,Kutahya,2024-11-18,Bölgesel düzensiz yağmur yağışlı,8.4
312,Kutahya,2024-11-19,Parçalı Bulutlu,7.8
313,Kutahya,2024-11-20,Güneşli,5.4
314,Kutahya,2024-11-21,Parçalı Bulutlu,9.0
315,Kutahya,2024-11-22,Bölgesel düzensiz yağmur yağışlı,11.9
316,Kutahya,2024-11-23,Bölgesel düzensiz yağmur yağışlı,6.1
